"","Year","Month","Taxa","Density","ID"
"42",2013,5,"Artedius fenestralis",0.0532174753416828,2
"43",2014,4,"Artedius fenestralis",0.0703361718232616,2
"44",2014,5,"Artedius fenestralis",0.05720823798627,2
"45",2014,6,"Artedius fenestralis",0.0250596495312976,2
"46",2014,7,"Artedius fenestralis",0.0194287934719254,2
"47",2016,2,"Artedius fenestralis",0.0220118864186661,2
"48",2016,5,"Artedius fenestralis",0.0801763880537182,2
"49",2016,7,"Artedius fenestralis",0.0362056480811006,2
"50",2017,2,"Artedius fenestralis",0.0339673913043478,2
"51",2017,4,"Artedius fenestralis",0.144907635058464,2
"52",2017,5,"Artedius fenestralis",0.0763164589163063,2
"53",2018,2,"Artedius fenestralis",0.0938967136150235,2
"54",2018,3,"Artedius fenestralis",0.261248185776488,2
"55",2019,1,"Artedius fenestralis",0.207361327112494,2
"56",2019,3,"Artedius fenestralis",0.0454855583352286,2
"57",2019,4,"Artedius fenestralis",0.0355943980010027,2
"58",2019,7,"Artedius fenestralis",0.0153421294875729,2
"59",2020,2,"Artedius fenestralis",0.0890945979884192,2
"60",2020,3,"Artedius fenestralis",0.0249737344323881,2
"61",2020,6,"Artedius fenestralis",0.0141476768510845,2
"62",2020,7,"Artedius fenestralis",0.0235057001020289,2
"63",2021,1,"Artedius fenestralis",0.0261944431473028,2
"64",2021,3,"Artedius fenestralis",0.0200304121386954,2
"65",2022,2,"Artedius fenestralis",0.0727069144956424,2
"66",2022,7,"Artedius fenestralis",0.0331639759627502,2
"67",2023,1,"Artedius fenestralis",0.0239783761888256,2
"68",2023,3,"Artedius fenestralis",0.0691841520288275,2
"69",2023,7,"Artedius fenestralis",0.0231053604436229,2
"70",1997,8,"Artedius harringtoni",0.00627943485086342,3
"71",1998,3,"Artedius harringtoni",0.00499126528574994,3
"72",1998,4,"Artedius harringtoni",0.00549953872541752,3
"73",1998,5,"Artedius harringtoni",0.00451100685673042,3
"74",1998,6,"Artedius harringtoni",0.314169022934339,3
"75",1999,3,"Artedius harringtoni",0.00571250456074237,3
"76",2000,3,"Artedius harringtoni",0.00947149081265391,3
"77",2000,4,"Artedius harringtoni",0.00112930547713156,3
"78",2000,7,"Artedius harringtoni",0.00973101539884824,3
"79",2000,9,"Artedius harringtoni",0.00563380281690141,3
"80",2001,1,"Artedius harringtoni",0.0167728452308574,3
"81",2001,2,"Artedius harringtoni",0.0754019951486948,3
"82",2001,5,"Artedius harringtoni",0.0396240235513212,3
"83",2001,7,"Artedius harringtoni",0.0154059466954244,3
"84",2002,3,"Artedius harringtoni",0.0306106551697952,3
"85",2002,4,"Artedius harringtoni",0.0125064181788994,3
"86",2002,7,"Artedius harringtoni",0.00864055299539171,3
"87",2003,3,"Artedius harringtoni",0.014168319637291,3
"88",2003,5,"Artedius harringtoni",0.0149835181300569,3
"89",2004,1,"Artedius harringtoni",0.017096939647803,3
"90",2004,5,"Artedius harringtoni",0.0166294167730949,3
"91",2004,6,"Artedius harringtoni",0.00730273487421039,3
"92",2005,3,"Artedius harringtoni",0.0200080032012805,3
"93",2006,5,"Artedius harringtoni",0.0059206631142688,3
"94",2007,3,"Artedius harringtoni",0.0141631565804082,3
"95",2008,3,"Artedius harringtoni",0.0272219953722608,3
"96",2009,1,"Artedius harringtoni",0.13196093956189,3
"97",2009,3,"Artedius harringtoni",0.0372034780207322,3
"98",2010,2,"Artedius harringtoni",0.0281065873817138,3
"99",2010,3,"Artedius harringtoni",0.0285595301384127,3
"100",2010,5,"Artedius harringtoni",0.0344175863550826,3
"101",2010,6,"Artedius harringtoni",0.01820495964757,3
"102",2011,2,"Artedius harringtoni",0.0247595844351348,3
"103",2012,2,"Artedius harringtoni",0.0221734924087772,3
"104",2012,4,"Artedius harringtoni",0.0272237146867585,3
"105",2012,6,"Artedius harringtoni",0.0429922613929493,3
"106",2012,7,"Artedius harringtoni",0.0421204007650635,3
"107",2013,2,"Artedius harringtoni",0.0540016870127023,3
"108",2013,3,"Artedius harringtoni",0.107687105078897,3
"109",2013,4,"Artedius harringtoni",0.0749063670411985,3
"110",2013,5,"Artedius harringtoni",0.0220182064094883,3
"111",2013,8,"Artedius harringtoni",0.0206825232678387,3
"112",2013,12,"Artedius harringtoni",0.0260929828663037,3
"113",2014,2,"Artedius harringtoni",0.0223313979455114,3
"114",2014,4,"Artedius harringtoni",0.0571646341463415,3
"115",2014,6,"Artedius harringtoni",0.0234027615258601,3
"116",2014,7,"Artedius harringtoni",0.0300210147102972,3
"117",2015,3,"Artedius harringtoni",0.0395512898979023,3
"118",2015,4,"Artedius harringtoni",0.170357751277683,3
"119",2015,5,"Artedius harringtoni",0.0263019463440295,3
"120",2016,1,"Artedius harringtoni",0.0347463516330785,3
"121",2016,3,"Artedius harringtoni",0.0347463516330785,3
"122",2016,4,"Artedius harringtoni",0.0360248787982168,3
"123",2016,5,"Artedius harringtoni",0.054280643643663,3
"124",2016,7,"Artedius harringtoni",0.0362056480811006,3
"125",2016,9,"Artedius harringtoni",0.0433275563258232,3
"126",2017,2,"Artedius harringtoni",0.0530785562632696,3
"127",2017,3,"Artedius harringtoni",0.0427807486631016,3
"128",2017,4,"Artedius harringtoni",0.0729506309442138,3
"129",2017,5,"Artedius harringtoni",0.101755278555075,3
"130",2018,2,"Artedius harringtoni",0.0709916237105957,3
"131",2018,3,"Artedius harringtoni",0.203193033381713,3
"132",2018,5,"Artedius harringtoni",0.0422832980972516,3
"133",2018,12,"Artedius harringtoni",0.0628930817610063,3
"134",2019,1,"Artedius harringtoni",0.0259201658890617,3
"135",2019,2,"Artedius harringtoni",0.0252206809583859,3
"136",2019,3,"Artedius harringtoni",0.0212920074176057,3
"137",2019,4,"Artedius harringtoni",0.0540227753661718,3
"138",2019,7,"Artedius harringtoni",0.0153421294875729,3
"139",2019,8,"Artedius harringtoni",0.0290377073144017,3
"140",2020,2,"Artedius harringtoni",0.0520609790766663,3
"141",2020,3,"Artedius harringtoni",0.167682590271224,3
"142",2020,6,"Artedius harringtoni",0.0158329434471009,3
"143",2021,1,"Artedius harringtoni",0.0172977145244171,3
"144",2021,2,"Artedius harringtoni",0.0628078579981639,3
"145",2021,3,"Artedius harringtoni",0.0200304121386954,3
"146",2021,6,"Artedius harringtoni",0.0225343073562345,3
"147",2021,7,"Artedius harringtoni",0.0307494808980258,3
"148",2022,2,"Artedius harringtoni",0.0308364289399489,3
"149",2022,3,"Artedius harringtoni",0.26218455920221,3
"150",2022,4,"Artedius harringtoni",0.0459946580430685,3
"151",2022,5,"Artedius harringtoni",0.0318172229133721,3
"152",2023,1,"Artedius harringtoni",0.0224068547049914,3
"153",2023,2,"Artedius harringtoni",0.0287648930233628,3
"154",2023,3,"Artedius harringtoni",0.0479756667418285,3
"155",2023,4,"Artedius harringtoni",0.0442301813013012,3
"156",2023,8,"Artedius harringtoni",0.0209400402886375,3
"157",1997,4,"Engraulis mordax",0.00879120879120879,4
"158",1997,5,"Engraulis mordax",0.0646386296610512,4
"159",1997,8,"Engraulis mordax",0.00437082040298964,4
"160",1998,3,"Engraulis mordax",0.019868248603353,4
"161",1998,4,"Engraulis mordax",0.0143181455012135,4
"162",1998,7,"Engraulis mordax",0.0345512654400967,4
"163",1999,7,"Engraulis mordax",0.0107758620689655,4
"164",2000,7,"Engraulis mordax",0.00170155130919805,4
"165",2000,8,"Engraulis mordax",0.100114708552276,4
"166",2000,9,"Engraulis mordax",0.0021092665445494,4
"167",2001,6,"Engraulis mordax",0.0316205533596838,4
"168",2001,7,"Engraulis mordax",0.606520090978014,4
"169",2002,7,"Engraulis mordax",0.026902495781638,4
"170",2004,5,"Engraulis mordax",0.802016143437447,4
"171",2004,6,"Engraulis mordax",0.0805744840887992,4
"172",2004,8,"Engraulis mordax",0.0148879635458297,4
"173",2005,4,"Engraulis mordax",0.0184433788270011,4
"174",2005,5,"Engraulis mordax",0.271645376225161,4
"175",2005,6,"Engraulis mordax",0.363364766988942,4
"176",2005,7,"Engraulis mordax",1.12368584647849,4
"177",2007,6,"Engraulis mordax",0.0366440369786697,4
"178",2007,7,"Engraulis mordax",0.137523938684694,4
"179",2007,8,"Engraulis mordax",0.0165486546660727,4
"180",2008,5,"Engraulis mordax",0.0170009088124821,4
"181",2008,8,"Engraulis mordax",0.0458445973794978,4
"182",2009,6,"Engraulis mordax",0.107675161761889,4
"183",2009,7,"Engraulis mordax",0.00625134321439521,4
"184",2010,5,"Engraulis mordax",0.0897417949076916,4
"185",2010,6,"Engraulis mordax",0.0945648140492535,4
"186",2010,7,"Engraulis mordax",0.0964361142873615,4
"187",2011,6,"Engraulis mordax",0.832732732283796,4
"188",2011,7,"Engraulis mordax",2.49461525780086,4
"189",2012,6,"Engraulis mordax",0.453513484412428,4
"190",2012,7,"Engraulis mordax",0.147091393359444,4
"191",2012,8,"Engraulis mordax",0.0172553305106329,4
"192",2013,6,"Engraulis mordax",0.0449697039104755,4
"193",2014,6,"Engraulis mordax",0.0197511356903022,4
"194",2014,7,"Engraulis mordax",0.046706955542888,4
"195",2015,2,"Engraulis mordax",0.182896742607353,4
"196",2015,3,"Engraulis mordax",2.67413813371382,4
"197",2015,4,"Engraulis mordax",9.2654518163169,4
"198",2015,5,"Engraulis mordax",1.18404651078148,4
"199",2015,9,"Engraulis mordax",0.0376506024096386,4
"200",2015,10,"Engraulis mordax",0.0176616036736136,4
"201",2016,1,"Engraulis mordax",0.0347463516330785,4
"202",2016,2,"Engraulis mordax",0.545661078789638,4
"203",2016,3,"Engraulis mordax",0.915487400635947,4
"204",2016,4,"Engraulis mordax",3.93761584453278,4
"205",2016,5,"Engraulis mordax",0.621817808264798,4
"206",2016,6,"Engraulis mordax",4.2719481062508,4
"207",2016,7,"Engraulis mordax",0.258899676375405,4
"208",2016,8,"Engraulis mordax",0.0170839928881636,4
"209",2016,11,"Engraulis mordax",0.129470788153423,4
"210",2016,12,"Engraulis mordax",0.371674923192132,4
"211",2017,1,"Engraulis mordax",0.0822675940380673,4
"212",2017,2,"Engraulis mordax",0.014421690222094,4
"213",2017,3,"Engraulis mordax",0.0398863190596249,4
"214",2017,4,"Engraulis mordax",0.0668918478132844,4
"215",2017,5,"Engraulis mordax",0.403662473846581,4
"216",2017,6,"Engraulis mordax",1.41352602540911,4
"217",2017,7,"Engraulis mordax",0.0363108206245461,4
"218",2017,8,"Engraulis mordax",0.0844594594594595,4
"219",2018,2,"Engraulis mordax",0.0160091329476059,4
"220",2018,7,"Engraulis mordax",0.0312989045383412,4
"221",2018,8,"Engraulis mordax",0.0894657263639252,4
"222",2019,6,"Engraulis mordax",0.0208811860513677,4
"223",2019,7,"Engraulis mordax",0.415736356922071,4
"224",2019,8,"Engraulis mordax",0.108431158559844,4
"225",2019,9,"Engraulis mordax",0.0222890894906943,4
"226",2019,10,"Engraulis mordax",0.0204144125752781,4
"227",2020,8,"Engraulis mordax",0.0154025344562397,4
"228",2021,8,"Engraulis mordax",0.0208082983493817,4
"229",2022,6,"Engraulis mordax",0.185772111794888,4
"230",2022,7,"Engraulis mordax",0.11265625422461,4
"231",2022,8,"Engraulis mordax",0.0166867696473375,4
"232",2023,5,"Engraulis mordax",0.00659406600000659,4
"233",2023,8,"Engraulis mordax",0.0177015417408063,4
"234",1997,3,"Glyptocephalus zachirus",0.0459576423729463,5
"235",1997,4,"Glyptocephalus zachirus",0.0043956043956044,5
"236",1997,5,"Glyptocephalus zachirus",0.00685364349589223,5
"237",1998,3,"Glyptocephalus zachirus",0.0050562034044288,5
"238",1998,4,"Glyptocephalus zachirus",0.00726427429899753,5
"239",1999,3,"Glyptocephalus zachirus",0.00406755127741561,5
"240",2000,4,"Glyptocephalus zachirus",0.00192336802047382,5
"241",2000,7,"Glyptocephalus zachirus",0.000535074107763925,5
"242",2000,9,"Glyptocephalus zachirus",0.000694339748567016,5
"243",2001,3,"Glyptocephalus zachirus",0.0114377216058561,5
"244",2001,5,"Glyptocephalus zachirus",0.0170299727520436,5
"245",2002,3,"Glyptocephalus zachirus",0.0856898029134533,5
"246",2002,4,"Glyptocephalus zachirus",0.0116170545052337,5
"247",2002,5,"Glyptocephalus zachirus",0.00318695233385815,5
"248",2002,7,"Glyptocephalus zachirus",0.00152753379668525,5
"249",2003,3,"Glyptocephalus zachirus",0.0296340198547933,5
"250",2004,3,"Glyptocephalus zachirus",0.0608103628099025,5
"251",2005,3,"Glyptocephalus zachirus",0.0280610619112217,5
"252",2005,5,"Glyptocephalus zachirus",0.00226498514169747,5
"253",2006,5,"Glyptocephalus zachirus",0.00476428540869117,5
"254",2007,3,"Glyptocephalus zachirus",0.0264224378665633,5
"255",2007,4,"Glyptocephalus zachirus",0.0102679946606428,5
"256",2007,5,"Glyptocephalus zachirus",0.0166383837119034,5
"257",2008,3,"Glyptocephalus zachirus",0.0272219953722608,5
"258",2008,5,"Glyptocephalus zachirus",0.00507741038772754,5
"259",2008,6,"Glyptocephalus zachirus",0.00660719722694294,5
"260",2008,7,"Glyptocephalus zachirus",0.0056807853117615,5
"261",2008,8,"Glyptocephalus zachirus",0.00678677754445938,5
"262",2009,2,"Glyptocephalus zachirus",0.0266098988823842,5
"263",2009,6,"Glyptocephalus zachirus",0.0411474893395531,5
"264",2010,2,"Glyptocephalus zachirus",0.0282202275684518,5
"265",2010,3,"Glyptocephalus zachirus",0.0408116352021833,5
"266",2010,4,"Glyptocephalus zachirus",0.0504516787894417,5
"267",2010,6,"Glyptocephalus zachirus",0.0164467100898002,5
"268",2011,5,"Glyptocephalus zachirus",0.0581694851341156,5
"269",2012,5,"Glyptocephalus zachirus",0.0145877215672084,5
"270",2012,6,"Glyptocephalus zachirus",0.0287624267401685,5
"271",2013,2,"Glyptocephalus zachirus",0.0256965565586349,5
"272",2013,3,"Glyptocephalus zachirus",0.0209809083457566,5
"273",2013,4,"Glyptocephalus zachirus",0.0187265917602996,5
"274",2014,2,"Glyptocephalus zachirus",0.015477020339281,5
"275",2014,4,"Glyptocephalus zachirus",0.0326844601414971,5
"276",2014,5,"Glyptocephalus zachirus",0.0186497575531518,5
"277",2014,7,"Glyptocephalus zachirus",0.0259067357512953,5
"278",2015,2,"Glyptocephalus zachirus",0.0192715359414145,5
"279",2015,3,"Glyptocephalus zachirus",0.0323822599677889,5
"280",2015,8,"Glyptocephalus zachirus",0.0344827586206897,5
"281",2016,2,"Glyptocephalus zachirus",0.0195615949718899,5
"282",2016,5,"Glyptocephalus zachirus",0.0320769847634322,5
"283",2016,8,"Glyptocephalus zachirus",0.00576535024502739,5
"284",2017,1,"Glyptocephalus zachirus",0.0248015873015873,5
"285",2017,3,"Glyptocephalus zachirus",0.0263122493958858,5
"286",2017,4,"Glyptocephalus zachirus",0.0358825025161071,5
"287",2017,5,"Glyptocephalus zachirus",0.0237862535555508,5
"288",2017,8,"Glyptocephalus zachirus",0.0297441998810232,5
"289",2018,2,"Glyptocephalus zachirus",0.00701557457555774,5
"290",2018,3,"Glyptocephalus zachirus",0.0677244799742498,5
"291",2018,4,"Glyptocephalus zachirus",0.028947749312491,5
"292",2018,5,"Glyptocephalus zachirus",0.0256673511293634,5
"293",2019,3,"Glyptocephalus zachirus",0.0251894100200732,5
"294",2019,12,"Glyptocephalus zachirus",0.0122054072395153,5
"295",2020,3,"Glyptocephalus zachirus",0.0383244070817558,5
"296",2020,4,"Glyptocephalus zachirus",0.0351508168156666,5
"297",2020,6,"Glyptocephalus zachirus",0.0124624102550682,5
"298",2021,3,"Glyptocephalus zachirus",0.0190648105022936,5
"299",2021,5,"Glyptocephalus zachirus",0.00600706021801544,5
"300",2022,3,"Glyptocephalus zachirus",0.0587873356315563,5
"301",2022,5,"Glyptocephalus zachirus",0.0142608596446194,5
"302",2023,3,"Glyptocephalus zachirus",0.0557027535095113,5
"303",2023,4,"Glyptocephalus zachirus",0.0478523033352895,5
"304",2023,5,"Glyptocephalus zachirus",0.0131881320000132,5
"305",1996,12,"Hemilepidotus hemilepidotus",0.00520969002344361,6
"306",1997,5,"Hemilepidotus hemilepidotus",0.00623908160718742,6
"307",1998,1,"Hemilepidotus hemilepidotus",0.0047463097441739,6
"308",2002,4,"Hemilepidotus hemilepidotus",0.00227139983126744,6
"309",2004,1,"Hemilepidotus hemilepidotus",0.0173641257162702,6
"310",2004,12,"Hemilepidotus hemilepidotus",0.0161812297734628,6
"311",2009,1,"Hemilepidotus hemilepidotus",0.0240209186473391,6
"312",2009,3,"Hemilepidotus hemilepidotus",0.038001140034201,6
"313",2010,2,"Hemilepidotus hemilepidotus",0.028604118993135,6
"314",2011,1,"Hemilepidotus hemilepidotus",0.0391590665600106,6
"315",2012,2,"Hemilepidotus hemilepidotus",0.0169290672083968,6
"316",2014,1,"Hemilepidotus hemilepidotus",0.0183466116564708,6
"317",2015,1,"Hemilepidotus hemilepidotus",0.0264900662251656,6
"318",2015,2,"Hemilepidotus hemilepidotus",0.0232342007434944,6
"319",2017,1,"Hemilepidotus hemilepidotus",0.0411692054343351,6
"320",2017,2,"Hemilepidotus hemilepidotus",0.0243724104313917,6
"321",2019,1,"Hemilepidotus hemilepidotus",0.0518403317781234,6
"322",2020,2,"Hemilepidotus hemilepidotus",0.0252256433800344,6
"323",2021,1,"Hemilepidotus hemilepidotus",0.0168019718030626,6
"324",2022,2,"Hemilepidotus hemilepidotus",0.0343056238544017,6
"325",1999,2,"Hemilepidotus spinosus",0.0644584283780743,7
"326",2000,2,"Hemilepidotus spinosus",0.0171378207943153,7
"327",2002,1,"Hemilepidotus spinosus",0.00969274013763691,7
"328",2002,4,"Hemilepidotus spinosus",0.000417312351531037,7
"329",2004,1,"Hemilepidotus spinosus",0.0173641257162702,7
"330",2006,2,"Hemilepidotus spinosus",0.0137211855104281,7
"331",2007,1,"Hemilepidotus spinosus",0.012298610257041,7
"332",2007,2,"Hemilepidotus spinosus",0.0915192190359976,7
"333",2008,2,"Hemilepidotus spinosus",0.0245579567779961,7
"334",2009,1,"Hemilepidotus spinosus",0.0304194104697154,7
"335",2009,2,"Hemilepidotus spinosus",0.0234027615258601,7
"336",2011,1,"Hemilepidotus spinosus",0.028907582458879,7
"337",2012,2,"Hemilepidotus spinosus",0.0169290672083968,7
"338",2014,1,"Hemilepidotus spinosus",0.0156494522691706,7
"339",2014,2,"Hemilepidotus spinosus",0.0180543880536449,7
"340",2015,1,"Hemilepidotus spinosus",0.0185675847256371,7
"341",2015,2,"Hemilepidotus spinosus",0.0163371998039536,7
"342",2016,2,"Hemilepidotus spinosus",0.0238322211630124,7
"343",2017,1,"Hemilepidotus spinosus",0.16467682173734,7
"344",2017,2,"Hemilepidotus spinosus",0.0601896159265669,7
"345",2018,2,"Hemilepidotus spinosus",0.0260106502854192,7
"346",2018,3,"Hemilepidotus spinosus",0.022706810779905,7
"347",2019,1,"Hemilepidotus spinosus",0.0259201658890617,7
"348",2020,2,"Hemilepidotus spinosus",0.0260304895383332,7
"349",2021,1,"Hemilepidotus spinosus",0.0336039436061253,7
"350",2021,2,"Hemilepidotus spinosus",0.0239869206424603,7
"351",2022,2,"Hemilepidotus spinosus",0.0213091822201484,7
"352",2023,1,"Hemilepidotus spinosus",0.0255498976726598,7
"353",2023,2,"Hemilepidotus spinosus",0.0287648930233628,7
"354",1999,2,"Hexagrammos decagrammus",0.00382394554701541,8
"355",2001,1,"Hexagrammos decagrammus",0.0136705399863295,8
"356",2002,1,"Hexagrammos decagrammus",0.00969274013763691,8
"357",2004,1,"Hexagrammos decagrammus",0.0148986889153754,8
"358",2005,2,"Hexagrammos decagrammus",0.0130463144161774,8
"359",2005,12,"Hexagrammos decagrammus",0.0138178803371563,8
"360",2007,3,"Hexagrammos decagrammus",0.00922764602749838,8
"361",2012,2,"Hexagrammos decagrammus",0.0189950349908548,8
"362",2013,2,"Hexagrammos decagrammus",0.0540016870127023,8
"363",2014,1,"Hexagrammos decagrammus",0.0156494522691706,8
"364",2014,2,"Hexagrammos decagrammus",0.0191864927091328,8
"365",2015,1,"Hexagrammos decagrammus",0.0210034217340395,8
"366",2015,2,"Hexagrammos decagrammus",0.0217160702768169,8
"367",2015,3,"Hexagrammos decagrammus",0.0286532951289398,8
"368",2016,2,"Hexagrammos decagrammus",0.0220118864186661,8
"369",2017,1,"Hexagrammos decagrammus",0.023906287353574,8
"370",2017,2,"Hexagrammos decagrammus",0.0204804841768644,8
"371",2018,2,"Hexagrammos decagrammus",0.0394744477797766,8
"372",2018,3,"Hexagrammos decagrammus",0.0236574402649633,8
"373",2019,1,"Hexagrammos decagrammus",0.0475398145947231,8
"374",2020,2,"Hexagrammos decagrammus",0.0198017160809804,8
"375",2022,1,"Hexagrammos decagrammus",0.0980488283165016,8
"376",1997,2,"Isopsetta isolepis",0.00425079702444208,9
"377",1997,3,"Isopsetta isolepis",0.0044849082836256,9
"378",1997,5,"Isopsetta isolepis",0.00347705146036161,9
"379",1997,7,"Isopsetta isolepis",0.0131121746541664,9
"380",1998,4,"Isopsetta isolepis",0.00314485187747657,9
"381",1998,5,"Isopsetta isolepis",0.0125114688464426,9
"382",1998,10,"Isopsetta isolepis",0.0159676389184586,9
"383",1999,4,"Isopsetta isolepis",0.00364471334329555,9
"384",2000,2,"Isopsetta isolepis",0.0362260505554661,9
"385",2000,4,"Isopsetta isolepis",0.00510760688711266,9
"386",2001,1,"Isopsetta isolepis",0.0147710487444609,9
"387",2001,4,"Isopsetta isolepis",0.0152415790275873,9
"388",2001,5,"Isopsetta isolepis",0.0466635557629491,9
"389",2001,6,"Isopsetta isolepis",0.0272042647713076,9
"390",2001,10,"Isopsetta isolepis",0.0233426704014939,9
"391",2002,3,"Isopsetta isolepis",0.558366731829772,9
"392",2002,4,"Isopsetta isolepis",0.0360272994047217,9
"393",2003,3,"Isopsetta isolepis",0.0425049589118731,9
"394",2004,5,"Isopsetta isolepis",0.0206314900176124,9
"395",2005,1,"Isopsetta isolepis",0.0416406412658755,9
"396",2005,3,"Isopsetta isolepis",0.0361141206211629,9
"397",2005,5,"Isopsetta isolepis",0.00914268996224069,9
"398",2005,8,"Isopsetta isolepis",0.019669551534225,9
"399",2006,2,"Isopsetta isolepis",0.0823271130625686,9
"400",2007,3,"Isopsetta isolepis",0.0398928918282779,9
"401",2008,3,"Isopsetta isolepis",0.0343492805563087,9
"402",2010,2,"Isopsetta isolepis",0.5856890253896,9
"403",2010,3,"Isopsetta isolepis",0.395527106946804,9
"404",2010,5,"Isopsetta isolepis",0.0378611304747853,9
"405",2010,7,"Isopsetta isolepis",0.0384871753852717,9
"406",2010,8,"Isopsetta isolepis",0.0254906309186059,9
"407",2010,9,"Isopsetta isolepis",0.0252206809583859,9
"408",2011,1,"Isopsetta isolepis",0.117905647584194,9
"409",2011,2,"Isopsetta isolepis",0.13262599469496,9
"410",2011,3,"Isopsetta isolepis",0.220890985880648,9
"411",2012,2,"Isopsetta isolepis",0.108117924796038,9
"412",2012,5,"Isopsetta isolepis",0.0228885328450446,9
"413",2012,6,"Isopsetta isolepis",0.0582329844977207,9
"414",2012,7,"Isopsetta isolepis",0.0191754554170662,9
"415",2013,2,"Isopsetta isolepis",0.189005904544458,9
"416",2013,3,"Isopsetta isolepis",0.0364154893996601,9
"417",2013,4,"Isopsetta isolepis",0.205992509363296,9
"418",2013,5,"Isopsetta isolepis",0.0185132447599962,9
"419",2013,6,"Isopsetta isolepis",0.0207105371070693,9
"420",2013,7,"Isopsetta isolepis",0.0281531531531532,9
"421",2013,8,"Isopsetta isolepis",0.0206825232678387,9
"422",2014,2,"Isopsetta isolepis",0.0753784052903406,9
"423",2014,6,"Isopsetta isolepis",0.0830597786089238,9
"424",2014,7,"Isopsetta isolepis",0.0582888970988684,9
"425",2015,2,"Isopsetta isolepis",0.727864974296684,9
"426",2015,3,"Isopsetta isolepis",0.581175483418665,9
"427",2015,4,"Isopsetta isolepis",0.0548521731224585,9
"428",2015,5,"Isopsetta isolepis",0.154586769282614,9
"429",2015,6,"Isopsetta isolepis",0.055623961205134,9
"430",2015,7,"Isopsetta isolepis",0.026267402153927,9
"431",2016,1,"Isopsetta isolepis",0.0694927032661571,9
"432",2016,2,"Isopsetta isolepis",0.426178221999455,9
"433",2016,3,"Isopsetta isolepis",0.142266093397444,9
"434",2016,4,"Isopsetta isolepis",0.165060653158485,9
"435",2016,5,"Isopsetta isolepis",0.0399991573507952,9
"436",2016,10,"Isopsetta isolepis",0.0226295541977823,9
"437",2017,2,"Isopsetta isolepis",0.227114791878924,9
"438",2017,3,"Isopsetta isolepis",0.0408511289274505,9
"439",2017,4,"Isopsetta isolepis",0.273747604708459,9
"440",2017,10,"Isopsetta isolepis",0.176263219741481,9
"441",2018,2,"Isopsetta isolepis",0.0826266472362398,9
"442",2018,3,"Isopsetta isolepis",0.175421750851702,9
"443",2018,4,"Isopsetta isolepis",0.130264871906209,9
"444",2018,5,"Isopsetta isolepis",0.0969183748506297,9
"445",2018,8,"Isopsetta isolepis",0.0494071146245059,9
"446",2019,3,"Isopsetta isolepis",0.308446109093223,9
"447",2019,7,"Isopsetta isolepis",0.0270985367295197,9
"448",2019,8,"Isopsetta isolepis",0.0282246683601468,9
"449",2020,2,"Isopsetta isolepis",0.585401981396164,9
