"Year","Month","Volume.Filtered","Taxa","Count","Density","New_Year","New_Month","Year_Start"
2022,2,45.31425,"Anoplarchus.purpurescens",1,0.022068113231489,2022,2,"January"
2022,3,26.69875,"Anoplarchus.purpurescens",2,0.0749098740577742,2022,3,"January"
2023,2,55.5672,"Anoplarchus.purpurescens",1,0.0179962279906132,2023,2,"January"
2023,3,41.6878,"Anoplarchus.purpurescens",1,0.0239878333709143,2023,3,"January"
2023,4,34.1187,"Anoplarchus.purpurescens",2,0.058618880555238,2023,4,"January"
2023,5,40.502,"Anoplarchus.purpurescens",1,0.0246901387585798,2023,5,"January"
1997,6,178.38,"Artedius.fenestralis",1,0.00560600964233659,1997,6,"January"
1999,8,190.24,"Artedius.fenestralis",1,0.0052565180824222,1999,8,"January"
2000,4,885.5,"Artedius.fenestralis",1,0.00112930547713156,2000,4,"January"
2000,7,558.4,"Artedius.fenestralis",1,0.00179083094555874,2000,7,"January"
2000,9,355,"Artedius.fenestralis",1,0.0028169014084507,2000,9,"January"
2000,10,54.22,"Artedius.fenestralis",1,0.0184433788270011,2000,10,"January"
2002,4,581.7,"Artedius.fenestralis",11,0.0189100911122572,2002,4,"January"
2004,5,67.14,"Artedius.fenestralis",1,0.0148942508191838,2004,5,"January"
2010,6,90.8504,"Artedius.fenestralis",2,0.0220142123755096,2010,6,"January"
2013,5,37.58164,"Artedius.fenestralis",2,0.0532174753416828,2013,5,"January"
2014,4,37.96064,"Artedius.fenestralis",1,0.0263430753538402,2014,4,"January"
2014,4,52.48,"Artedius.fenestralis",6,0.114329268292683,2014,4,"January"
2014,5,34.96,"Artedius.fenestralis",2,0.05720823798627,2014,5,"January"
2014,6,42.73,"Artedius.fenestralis",1,0.0234027615258601,2014,6,"January"
2014,6,37.43,"Artedius.fenestralis",1,0.0267165375367352,2014,6,"January"
2014,7,51.47,"Artedius.fenestralis",1,0.0194287934719254,2014,7,"January"
2016,2,45.43,"Artedius.fenestralis",1,0.0220118864186661,2016,2,"January"
2016,5,49.89,"Artedius.fenestralis",4,0.0801763880537182,2016,5,"January"
2016,7,27.62,"Artedius.fenestralis",1,0.0362056480811006,2016,7,"January"
2017,2,29.44,"Artedius.fenestralis",1,0.0339673913043478,2017,2,"January"
2017,4,45.51,"Artedius.fenestralis",12,0.2636783124588,2017,4,"January"
2017,4,38.26,"Artedius.fenestralis",1,0.0261369576581286,2017,4,"January"
2017,5,39.31,"Artedius.fenestralis",3,0.0763164589163063,2017,5,"January"
2018,2,42.6,"Artedius.fenestralis",4,0.0938967136150235,2018,2,"January"
2018,3,34.45,"Artedius.fenestralis",9,0.261248185776488,2018,3,"January"
2019,1,38.58,"Artedius.fenestralis",8,0.207361327112494,2019,1,"January"
2019,3,43.97,"Artedius.fenestralis",2,0.0454855583352286,2019,3,"January"
2019,4,68.05,"Artedius.fenestralis",4,0.0587803085966201,2019,4,"January"
2019,4,80.59,"Artedius.fenestralis",1,0.0124084874053853,2019,4,"January"
2019,7,65.18,"Artedius.fenestralis",1,0.0153421294875729,2019,7,"January"
2020,2,39.6422,"Artedius.fenestralis",6,0.151353860280206,2020,2,"January"
2020,2,37.2643,"Artedius.fenestralis",1,0.0268353356966319,2020,2,"January"
2020,3,71.56378,"Artedius.fenestralis",2,0.0279470983785373,2020,3,"January"
2020,3,45.45378,"Artedius.fenestralis",1,0.022000370486239,2020,3,"January"
2020,6,63.15945,"Artedius.fenestralis",1,0.0158329434471009,2020,6,"January"
2020,6,80.2413,"Artedius.fenestralis",1,0.0124624102550682,2020,6,"January"
2020,7,58.77261,"Artedius.fenestralis",2,0.0340294569187926,2020,7,"January"
2020,7,77.03007,"Artedius.fenestralis",1,0.0129819432852651,2020,7,"January"
2021,1,56.2004329,"Artedius.fenestralis",2,0.035586914491543,2021,1,"January"
2021,1,59.51682408,"Artedius.fenestralis",1,0.0168019718030626,2021,1,"January"
2021,3,49.92408509,"Artedius.fenestralis",1,0.0200304121386954,2021,3,"January"
2022,2,25.2495,"Artedius.fenestralis",2,0.0792094892968178,2022,2,"January"
2022,2,45.31425,"Artedius.fenestralis",3,0.066204339694467,2022,2,"January"
2022,7,30.1532,"Artedius.fenestralis",1,0.0331639759627502,2022,7,"January"
2023,1,39.1391,"Artedius.fenestralis",1,0.0255498976726598,2023,1,"January"
2023,1,44.6292,"Artedius.fenestralis",1,0.0224068547049914,2023,1,"January"
2023,3,54.2619,"Artedius.fenestralis",1,0.0184291372030836,2023,3,"January"
2023,3,41.6878,"Artedius.fenestralis",5,0.119939166854571,2023,3,"January"
2023,7,43.28,"Artedius.fenestralis",1,0.0231053604436229,2023,7,"January"
1997,8,159.25,"Artedius.harringtoni",1,0.00627943485086342,1997,8,"January"
1998,3,200.35,"Artedius.harringtoni",1,0.00499126528574994,1998,3,"January"
1998,4,317.98,"Artedius.harringtoni",1,0.00314485187747657,1998,4,"January"
1998,4,254.64,"Artedius.harringtoni",2,0.00785422557335847,1998,4,"January"
1998,5,221.68,"Artedius.harringtoni",1,0.00451100685673042,1998,5,"January"
1998,6,254.64,"Artedius.harringtoni",80,0.314169022934339,1998,6,"January"
1999,3,206.39,"Artedius.harringtoni",1,0.00484519598817772,1999,3,"January"
1999,3,303.96,"Artedius.harringtoni",2,0.00657981313330701,1999,3,"January"
2000,3,211.16,"Artedius.harringtoni",2,0.00947149081265391,2000,3,"January"
2000,4,885.5,"Artedius.harringtoni",1,0.00112930547713156,2000,4,"January"
2000,7,102.7641987,"Artedius.harringtoni",1,0.00973101539884824,2000,7,"January"
2000,9,355,"Artedius.harringtoni",2,0.00563380281690141,2000,9,"January"
2001,1,159.79,"Artedius.harringtoni",3,0.0187746417172539,2001,1,"January"
2001,1,67.7,"Artedius.harringtoni",1,0.0147710487444609,2001,1,"January"
2001,2,40.47,"Artedius.harringtoni",3,0.0741289844329133,2001,2,"January"
2001,2,78.75,"Artedius.harringtoni",3,0.0380952380952381,2001,2,"January"
2001,2,52.64,"Artedius.harringtoni",6,0.113981762917933,2001,2,"January"
2001,5,64.29,"Artedius.harringtoni",4,0.0622180743505988,2001,5,"January"
2001,5,58.72,"Artedius.harringtoni",1,0.0170299727520436,2001,5,"January"
2001,7,64.91,"Artedius.harringtoni",1,0.0154059466954244,2001,7,"January"
2002,3,44.61,"Artedius.harringtoni",1,0.0224164985429276,2002,3,"January"
2002,3,25.77,"Artedius.harringtoni",1,0.0388048117966628,2002,3,"January"
2002,4,581.7,"Artedius.harringtoni",14,0.0240673886883273,2002,4,"January"
2002,4,2115.4,"Artedius.harringtoni",2,0.000945447669471495,2002,4,"January"
2002,7,347.2,"Artedius.harringtoni",3,0.00864055299539171,2002,7,"January"
2003,3,70.58,"Artedius.harringtoni",1,0.014168319637291,2003,3,"January"
2003,5,66.74,"Artedius.harringtoni",1,0.0149835181300569,2003,5,"January"
2004,1,58.49,"Artedius.harringtoni",1,0.017096939647803,2004,1,"January"
2004,5,300.672,"Artedius.harringtoni",5,0.0166294167730949,2004,5,"January"
2004,6,273.87,"Artedius.harringtoni",2,0.00730273487421039,2004,6,"January"
2005,3,49.98,"Artedius.harringtoni",1,0.0200080032012805,2005,3,"January"
2006,5,168.9,"Artedius.harringtoni",1,0.0059206631142688,2006,5,"January"
2007,3,108.37,"Artedius.harringtoni",1,0.00922764602749838,2007,3,"January"
2007,3,50.98,"Artedius.harringtoni",1,0.0196155355041193,2007,3,"January"
2007,3,73.28,"Artedius.harringtoni",1,0.013646288209607,2007,3,"January"
2008,3,73.47,"Artedius.harringtoni",2,0.0272219953722608,2008,3,"January"
2009,1,37.89,"Artedius.harringtoni",5,0.13196093956189,2009,1,"January"
2009,3,52.63,"Artedius.harringtoni",3,0.0570017100513015,2009,3,"January"
2009,3,54.73,"Artedius.harringtoni",1,0.0182715147085693,2009,3,"January"
2009,3,55.04,"Artedius.harringtoni",2,0.0363372093023256,2009,3,"January"
2010,2,34.96,"Artedius.harringtoni",1,0.028604118993135,2010,2,"January"
2010,2,36.22,"Artedius.harringtoni",1,0.0276090557702927,2010,2,"January"
2010,3,52.99,"Artedius.harringtoni",2,0.0377429703717683,2010,3,"January"
2010,3,51.61,"Artedius.harringtoni",1,0.0193760899050572,2010,3,"January"
2010,5,47.83,"Artedius.harringtoni",1,0.0209073803052478,2010,5,"January"
2010,5,41.29,"Artedius.harringtoni",2,0.0484378784209252,2010,5,"January"
2010,5,29.492,"Artedius.harringtoni",1,0.033907500339075,2010,5,"January"
2010,6,143.55,"Artedius.harringtoni",1,0.00696621386276559,2010,6,"January"
2010,6,90.8504,"Artedius.harringtoni",2,0.0220142123755096,2010,6,"January"
2010,6,39.01,"Artedius.harringtoni",1,0.0256344527044348,2010,6,"January"
2011,2,40.3884,"Artedius.harringtoni",1,0.0247595844351348,2011,2,"January"
2012,2,59.07,"Artedius.harringtoni",1,0.0169290672083968,2012,2,"January"
2012,2,36.4725,"Artedius.harringtoni",1,0.0274179176091576,2012,2,"January"
2012,4,36.73268,"Artedius.harringtoni",1,0.0272237146867585,2012,4,"January"
2012,6,46.52,"Artedius.harringtoni",2,0.0429922613929493,2012,6,"January"
2012,7,44.8357,"Artedius.harringtoni",1,0.0223036553460747,2012,7,"January"
2012,7,32.2908,"Artedius.harringtoni",2,0.0619371461840524,2012,7,"January"
2013,2,37.03588,"Artedius.harringtoni",2,0.0540016870127023,2013,2,"January"
2013,3,69.94,"Artedius.harringtoni",1,0.0142979696883043,2013,3,"January"
2013,3,49.73238,"Artedius.harringtoni",10,0.201076240469489,2013,3,"January"
2013,4,53.4,"Artedius.harringtoni",4,0.0749063670411985,2013,4,"January"
2013,5,37.58164,"Artedius.harringtoni",1,0.0266087376708414,2013,5,"January"
2013,5,57.38,"Artedius.harringtoni",1,0.0174276751481352,2013,5,"January"
2013,8,48.35,"Artedius.harringtoni",1,0.0206825232678387,2013,8,"January"
2013,12,38.32448,"Artedius.harringtoni",1,0.0260929828663037,2013,12,"January"
2014,2,44.78,"Artedius.harringtoni",1,0.0223313979455114,2014,2,"January"
2014,4,52.48,"Artedius.harringtoni",3,0.0571646341463415,2014,4,"January"
2014,6,42.73,"Artedius.harringtoni",1,0.0234027615258601,2014,6,"January"
2014,7,33.31,"Artedius.harringtoni",1,0.0300210147102972,2014,7,"January"
2015,3,34.9,"Artedius.harringtoni",2,0.0573065902578797,2015,3,"January"
2015,3,45.88,"Artedius.harringtoni",1,0.021795989537925,2015,3,"January"
2015,4,35.22,"Artedius.harringtoni",6,0.170357751277683,2015,4,"January"
2015,5,38.02,"Artedius.harringtoni",1,0.0263019463440295,2015,5,"January"
2016,1,28.78,"Artedius.harringtoni",1,0.0347463516330785,2016,1,"January"
2016,3,28.78,"Artedius.harringtoni",1,0.0347463516330785,2016,3,"January"
2016,4,37.63,"Artedius.harringtoni",1,0.0265745415891576,2016,4,"January"
2016,4,43.98,"Artedius.harringtoni",2,0.045475216007276,2016,4,"January"
2016,5,49.89,"Artedius.harringtoni",4,0.0801763880537182,2016,5,"January"
2016,5,35.23,"Artedius.harringtoni",1,0.0283848992336077,2016,5,"January"
2016,7,27.62,"Artedius.harringtoni",1,0.0362056480811006,2016,7,"January"
2016,9,23.08,"Artedius.harringtoni",1,0.0433275563258232,2016,9,"January"
2017,2,37.68,"Artedius.harringtoni",2,0.0530785562632696,2017,2,"January"
2017,3,46.75,"Artedius.harringtoni",2,0.0427807486631016,2017,3,"January"
2017,4,26.55,"Artedius.harringtoni",1,0.0376647834274953,2017,4,"January"
2017,4,36.53,"Artedius.harringtoni",1,0.0273747604708459,2017,4,"January"
2017,4,45.51,"Artedius.harringtoni",7,0.1538123489343,2017,4,"January"
2017,5,39.31,"Artedius.harringtoni",4,0.101755278555075,2017,5,"January"
2018,2,42.6,"Artedius.harringtoni",5,0.117370892018779,2018,2,"January"
2018,2,40.63,"Artedius.harringtoni",1,0.024612355402412,2018,2,"January"
2018,3,34.45,"Artedius.harringtoni",7,0.203193033381713,2018,3,"January"
2018,5,23.65,"Artedius.harringtoni",1,0.0422832980972516,2018,5,"January"
2018,12,15.9,"Artedius.harringtoni",1,0.0628930817610063,2018,12,"January"
2019,1,38.58,"Artedius.harringtoni",1,0.0259201658890617,2019,1,"January"
2019,2,39.65,"Artedius.harringtoni",1,0.0252206809583859,2019,2,"January"
2019,3,36.99,"Artedius.harringtoni",1,0.0270343336036767,2019,3,"January"
2019,3,64.31,"Artedius.harringtoni",1,0.0155496812315348,2019,3,"January"
2019,4,68.05,"Artedius.harringtoni",2,0.0293901542983101,2019,4,"January"
2019,4,80.59,"Artedius.harringtoni",9,0.111676386648468,2019,4,"January"
2019,4,95.23,"Artedius.harringtoni",2,0.0210017851517379,2019,4,"January"
2019,7,65.18,"Artedius.harringtoni",1,0.0153421294875729,2019,7,"January"
2019,8,33.5,"Artedius.harringtoni",1,0.0298507462686567,2019,8,"January"
2019,8,35.43,"Artedius.harringtoni",1,0.0282246683601468,2019,8,"January"
2020,2,39.6422,"Artedius.harringtoni",2,0.0504512867600688,2020,2,"January"
2020,2,37.2643,"Artedius.harringtoni",2,0.0536706713932638,2020,2,"January"
2020,3,71.56378,"Artedius.harringtoni",12,0.167682590271224,2020,3,"January"
2020,6,63.15945,"Artedius.harringtoni",1,0.0158329434471009,2020,6,"January"
2021,1,56.2004329,"Artedius.harringtoni",1,0.0177934572457715,2021,1,"January"
2021,1,59.51682408,"Artedius.harringtoni",1,0.0168019718030626,2021,1,"January"
2021,2,33.7063123,"Artedius.harringtoni",3,0.0890041002794601,2021,2,"January"
2021,2,54.62747166,"Artedius.harringtoni",2,0.0366116157168677,2021,2,"January"
2021,3,49.92408509,"Artedius.harringtoni",1,0.0200304121386954,2021,3,"January"
2021,6,44.37678,"Artedius.harringtoni",1,0.0225343073562345,2021,6,"January"
2021,7,32.5208742,"Artedius.harringtoni",1,0.0307494808980258,2021,7,"January"
2022,2,25.2495,"Artedius.harringtoni",1,0.0396047446484089,2022,2,"January"
2022,2,45.31425,"Artedius.harringtoni",1,0.022068113231489,2022,2,"January"
2022,3,26.69875,"Artedius.harringtoni",7,0.26218455920221,2022,3,"January"
2022,4,34.288,"Artedius.harringtoni",1,0.0291647223518432,2022,4,"January"
2022,4,47.752,"Artedius.harringtoni",3,0.0628245937342938,2022,4,"January"
2022,5,70.434,"Artedius.harringtoni",3,0.0425930658488798,2022,5,"January"
2022,5,47.5254,"Artedius.harringtoni",1,0.0210413799778645,2022,5,"January"
2023,1,44.6292,"Artedius.harringtoni",1,0.0224068547049914,2023,1,"January"
2023,2,34.7646,"Artedius.harringtoni",1,0.0287648930233628,2023,2,"January"
2023,3,41.6878,"Artedius.harringtoni",2,0.0479756667418285,2023,3,"January"
2023,4,34.1187,"Artedius.harringtoni",2,0.058618880555238,2023,4,"January"
2023,4,33.5104,"Artedius.harringtoni",1,0.0298414820473644,2023,4,"January"
2023,8,47.7554,"Artedius.harringtoni",1,0.0209400402886375,2023,8,"January"
1997,4,227.5,"Engraulis.mordax",2,0.00879120879120879,1997,4,"January"
1997,5,247.53,"Engraulis.mordax",16,0.0646386296610512,1997,5,"January"
1997,8,228.79,"Engraulis.mordax",1,0.00437082040298964,1997,8,"January"
1998,3,85.2,"Engraulis.mordax",4,0.0469483568075117,1998,3,"January"
1998,3,200.35,"Engraulis.mordax",2,0.00998253057149988,1998,3,"January"
1998,3,219.74,"Engraulis.mordax",1,0.00455083280240284,1998,3,"January"
1998,3,222.33,"Engraulis.mordax",4,0.0179912742319975,1998,3,"January"
1998,4,264.98,"Engraulis.mordax",3,0.0113216091780512,1998,4,"January"
1998,4,317.98,"Engraulis.mordax",11,0.0345933706522423,1998,4,"January"
1998,4,244.3,"Engraulis.mordax",1,0.00409332787556283,1998,4,"January"
1998,4,275.32,"Engraulis.mordax",2,0.00726427429899753,1998,4,"January"
1998,7,231.54,"Engraulis.mordax",8,0.0345512654400967,1998,7,"January"
1999,7,278.4,"Engraulis.mordax",3,0.0107758620689655,1999,7,"January"
2000,7,558.4,"Engraulis.mordax",1,0.00179083094555874,2000,7,"January"
2000,7,1395.5,"Engraulis.mordax",1,0.000716589036187746,2000,7,"January"
2000,7,1540.1,"Engraulis.mordax",4,0.00259723394584767,2000,7,"January"
2000,8,1642.9,"Engraulis.mordax",179,0.108953679469231,2000,8,"January"
2000,8,1884.4,"Engraulis.mordax",172,0.0912757376353216,2000,8,"January"
2000,9,1596.8,"Engraulis.mordax",1,0.00062625250501002,2000,9,"January"
2000,9,1302.5,"Engraulis.mordax",5,0.00383877159309021,2000,9,"January"
2000,9,1610.5,"Engraulis.mordax",3,0.00186277553554797,2000,9,"January"
2001,6,63.25,"Engraulis.mordax",2,0.0316205533596838,2001,6,"January"
2001,7,65.95,"Engraulis.mordax",40,0.606520090978014,2001,7,"January"
2002,7,1309.3,"Engraulis.mordax",2,0.00152753379668525,2002,7,"January"
2002,7,2065.9,"Engraulis.mordax",108,0.0522774577665908,2002,7,"January"
2004,5,300.672,"Engraulis.mordax",510,1.69620051085568,2004,5,"January"
2004,5,371.466,"Engraulis.mordax",537,1.44562355639547,2004,5,"January"
2004,5,67.14,"Engraulis.mordax",2,0.0297885016383676,2004,5,"January"
2004,5,82.3,"Engraulis.mordax",3,0.0364520048602673,2004,5,"January"
2004,6,49.4,"Engraulis.mordax",1,0.0202429149797571,2004,6,"January"
2004,6,273.87,"Engraulis.mordax",3,0.0109541023113156,2004,6,"January"
2004,6,506.86,"Engraulis.mordax",108,0.213076589196228,2004,6,"January"
2004,6,145.02,"Engraulis.mordax",8,0.0551648048545028,2004,6,"January"
2004,6,145.02,"Engraulis.mordax",15,0.103434009102193,2004,6,"January"
2004,8,83.58,"Engraulis.mordax",1,0.0119645848289064,2004,8,"January"
2004,8,280.72,"Engraulis.mordax",5,0.0178113422627529,2004,8,"January"
2005,4,54.22,"Engraulis.mordax",1,0.0184433788270011,2005,4,"January"
2005,5,437.508,"Engraulis.mordax",296,0.676559057205811,2005,5,"January"
2005,5,471.987,"Engraulis.mordax",39,0.0826293944536608,2005,5,"January"
2005,5,441.504,"Engraulis.mordax",129,0.292183083278974,2005,5,"January"
2005,5,400.086,"Engraulis.mordax",116,0.289937663402368,2005,5,"January"
2005,5,472.878,"Engraulis.mordax",8,0.0169176827849889,2005,5,"January"
2005,6,221.9021089,"Engraulis.mordax",26,0.117168782797449,2005,6,"January"
2005,6,221.0021808,"Engraulis.mordax",7,0.0316738955908077,2005,6,"January"
2005,6,191.2347301,"Engraulis.mordax",180,0.941251622578571,2005,6,"January"
2005,7,68.11,"Engraulis.mordax",11,0.161503450300984,2005,7,"January"
2005,7,57.53,"Engraulis.mordax",120,2.08586824265601,2005,7,"January"
2007,6,139.7497441,"Engraulis.mordax",9,0.0644008334896121,2007,6,"January"
2007,6,112.5208667,"Engraulis.mordax",1,0.0088872404677274,2007,6,"January"
2007,7,136.04803,"Engraulis.mordax",16,0.117605525048764,2007,7,"January"
2007,7,107.976029,"Engraulis.mordax",17,0.157442352320625,2007,7,"January"
2007,8,120.8557457,"Engraulis.mordax",2,0.0165486546660727,2007,8,"January"
2008,5,235.2815396,"Engraulis.mordax",4,0.0170009088124821,2008,5,"January"
2008,8,112.8714444,"Engraulis.mordax",1,0.00885963677806891,2008,8,"January"
2008,8,149.3598835,"Engraulis.mordax",3,0.0200857146490744,2008,8,"January"
2008,8,147.3453334,"Engraulis.mordax",16,0.10858844071135,2008,8,"January"
2009,6,128.16333,"Engraulis.mordax",7,0.054617806825088,2009,6,"January"
2009,6,105.76578,"Engraulis.mordax",17,0.16073251669869,2009,6,"January"
2009,7,159.9656211,"Engraulis.mordax",1,0.00625134321439521,2009,7,"January"
2010,5,55.7154,"Engraulis.mordax",5,0.0897417949076916,2010,5,"January"
2010,6,147.0068,"Engraulis.mordax",2,0.0136048128385898,2010,6,"January"
2010,6,136.306,"Engraulis.mordax",10,0.0733643419952166,2010,6,"January"
2010,6,140.5544,"Engraulis.mordax",1,0.00711468299818433,2010,6,"January"
2010,6,143.55,"Engraulis.mordax",3,0.0208986415882968,2010,6,"January"
2010,6,91.96,"Engraulis.mordax",9,0.097868638538495,2010,6,"January"
2010,6,36.34,"Engraulis.mordax",11,0.302696752889378,2010,6,"January"
2010,6,90.8504,"Engraulis.mordax",2,0.0220142123755096,2010,6,"January"
2010,6,39.7098,"Engraulis.mordax",7,0.17627890344449,2010,6,"January"
2010,6,142.9236,"Engraulis.mordax",8,0.0559739609133831,2010,6,"January"
2010,6,136.493,"Engraulis.mordax",24,0.175833192910992,2010,6,"January"
2010,7,155.7468,"Engraulis.mordax",7,0.0449447436480236,2010,7,"January"
2010,7,196.042,"Engraulis.mordax",29,0.147927484926699,2010,7,"January"
2011,6,159.7730508,"Engraulis.mordax",11,0.0688476557524681,2011,6,"January"
2011,6,163.5459012,"Engraulis.mordax",296,1.80988944283001,2011,6,"January"
2011,6,103.315608,"Engraulis.mordax",64,0.619461098268908,2011,6,"January"
2011,7,152.1955116,"Engraulis.mordax",540,3.54806783934093,2011,7,"January"
2011,7,128.5952976,"Engraulis.mordax",212,1.64858283278315,2011,7,"January"
2011,7,136.4116248,"Engraulis.mordax",312,2.28719510127849,2011,7,"January"
2012,6,30.46402,"Engraulis.mordax",4,0.1313024348067,2012,6,"January"
2012,6,40.64,"Engraulis.mordax",5,0.123031496062992,2012,6,"January"
2012,6,49.77,"Engraulis.mordax",3,0.0602772754671489,2012,6,"January"
2012,6,46.8065,"Engraulis.mordax",2,0.0427291081366904,2012,6,"January"
2012,6,46.52,"Engraulis.mordax",21,0.451418744625967,2012,6,"January"
2012,6,55.43,"Engraulis.mordax",106,1.91232184737507,2012,6,"January"
2012,7,44.8357,"Engraulis.mordax",1,0.0223036553460747,2012,7,"January"
2012,7,155.0857,"Engraulis.mordax",7,0.0451363342977463,2012,7,"January"
2012,7,109.8405,"Engraulis.mordax",20,0.182082201009646,2012,7,"January"
2012,7,52.15,"Engraulis.mordax",15,0.287631831255992,2012,7,"January"
2012,7,58.37,"Engraulis.mordax",9,0.154188795614185,2012,7,"January"
2012,7,120.2894,"Engraulis.mordax",23,0.191205542633017,2012,7,"January"
2012,8,85.17,"Engraulis.mordax",1,0.011741223435482,2012,8,"January"
2012,8,43.91852,"Engraulis.mordax",1,0.0227694375857839,2012,8,"January"
2013,6,66.71158,"Engraulis.mordax",3,0.0449697039104755,2013,6,"January"
2014,6,50.63,"Engraulis.mordax",1,0.0197511356903022,2014,6,"January"
2014,7,33.31,"Engraulis.mordax",1,0.0300210147102972,2014,7,"January"
2014,7,38.6,"Engraulis.mordax",2,0.0518134715025907,2014,7,"January"
2014,7,51.47,"Engraulis.mordax",3,0.0582863804157762,2014,7,"January"
2015,2,43.04,"Engraulis.mordax",1,0.0232342007434944,2015,2,"January"
2015,2,51.54,"Engraulis.mordax",25,0.485060147458285,2015,2,"January"
2015,2,49.51,"Engraulis.mordax",2,0.0403958796202787,2015,2,"January"
2015,3,34.9,"Engraulis.mordax",4,0.114613180515759,2015,3,"January"
2015,3,45.88,"Engraulis.mordax",21,0.457715780296425,2015,3,"January"
2015,3,63.73,"Engraulis.mordax",960,15.0635493488153,2015,3,"January"
2015,3,48.54,"Engraulis.mordax",108,2.22496909765142,2015,3,"January"
2015,3,33.43,"Engraulis.mordax",46,1.3760095722405,2015,3,"January"
2015,3,135.62,"Engraulis.mordax",3,0.0221206311753429,2015,3,"January"
2015,3,38.61,"Engraulis.mordax",6,0.155400155400155,2015,3,"January"
2015,3,43.69,"Engraulis.mordax",144,3.29594872968643,2015,3,"January"
2015,3,40.15,"Engraulis.mordax",66,1.64383561643836,2015,3,"January"
2015,3,44.06,"Engraulis.mordax",208,4.7208352246936,2015,3,"January"
2015,3,44.05,"Engraulis.mordax",15,0.340522133938706,2015,3,"January"
2015,4,35.22,"Engraulis.mordax",1264,35.8886996024986,2015,4,"January"
2015,4,39.42,"Engraulis.mordax",1424,36.1237950279046,2015,4,"January"
2015,4,43.77,"Engraulis.mordax",512,11.6975097098469,2015,4,"January"
2015,4,16.65,"Engraulis.mordax",17,1.02102102102102,2015,4,"January"
2015,4,65.33,"Engraulis.mordax",136,2.08173886422777,2015,4,"January"
2015,4,55.74,"Engraulis.mordax",126,2.26049515608181,2015,4,"January"
2015,4,56.97,"Engraulis.mordax",30,0.526592943654555,2015,4,"January"
2015,4,59.07,"Engraulis.mordax",39,0.660233621127476,2015,4,"January"
2015,4,138.35,"Engraulis.mordax",76,0.549331405854716,2015,4,"January"
2015,4,134.41,"Engraulis.mordax",248,1.84510081095157,2015,4,"January"
2015,5,38.02,"Engraulis.mordax",2,0.0526038926880589,2015,5,"January"
2015,5,47.2,"Engraulis.mordax",10,0.211864406779661,2015,5,"January"
2015,5,51.1,"Engraulis.mordax",168,3.28767123287671,2015,5,"January"
2015,9,26.56,"Engraulis.mordax",1,0.0376506024096386,2015,9,"January"
2015,10,56.62,"Engraulis.mordax",1,0.0176616036736136,2015,10,"January"
