"scientific_name","Decade","New_Month","Avg_Abundance","Old_Year","New_Year","Old_Month"
"Argentina sialis","1965",1,3.216,1964,1964,7
"Argentina sialis","1965",1,3.216,1965,1965,7
"Argentina sialis","1965",1,3.216,1966,1966,7
"Argentina sialis","1965",1,3.216,1967,1967,7
"Argentina sialis","1965",1,3.216,1968,1968,7
"Argentina sialis","1965",1,3.216,1969,1969,7
"Argentina sialis","1965",2,0,1960,1960,8
"Argentina sialis","1965",2,0,1961,1961,8
"Argentina sialis","1965",2,0,1962,1962,8
"Argentina sialis","1965",2,0,1963,1963,8
"Argentina sialis","1965",2,0,1964,1964,8
"Argentina sialis","1965",2,0,1965,1965,8
"Argentina sialis","1965",2,0,1966,1966,8
"Argentina sialis","1965",2,0,1967,1967,8
"Argentina sialis","1965",2,0,1968,1968,8
"Argentina sialis","1965",2,0,1969,1969,8
"Argentina sialis","1965",3,0,1960,1960,9
"Argentina sialis","1965",3,0,1961,1961,9
"Argentina sialis","1965",3,0,1962,1962,9
"Argentina sialis","1965",3,0,1963,1963,9
"Argentina sialis","1965",3,0,1964,1964,9
"Argentina sialis","1965",3,0,1965,1965,9
"Argentina sialis","1965",3,0,1966,1966,9
"Argentina sialis","1965",3,0,1967,1967,9
"Argentina sialis","1965",3,0,1968,1968,9
"Argentina sialis","1965",3,0,1969,1969,9
"Argentina sialis","1965",4,1.286,1960,1960,10
"Argentina sialis","1965",4,1.286,1961,1961,10
"Argentina sialis","1965",4,1.286,1962,1962,10
"Argentina sialis","1965",4,1.286,1963,1963,10
"Argentina sialis","1965",4,1.286,1964,1964,10
"Argentina sialis","1965",4,1.286,1965,1965,10
"Argentina sialis","1965",4,1.286,1966,1966,10
"Argentina sialis","1965",4,1.286,1967,1967,10
"Argentina sialis","1965",4,1.286,1968,1968,10
"Argentina sialis","1965",4,1.286,1969,1969,10
"Argentina sialis","1965",5,0,1960,1960,11
"Argentina sialis","1965",5,0,1961,1961,11
"Argentina sialis","1965",5,0,1962,1962,11
"Argentina sialis","1965",5,0,1963,1963,11
"Argentina sialis","1965",5,0,1964,1964,11
"Argentina sialis","1965",5,0,1965,1965,11
"Argentina sialis","1965",5,0,1966,1966,11
"Argentina sialis","1965",5,0,1967,1967,11
"Argentina sialis","1965",5,0,1968,1968,11
"Argentina sialis","1965",5,0,1969,1969,11
"Argentina sialis","1965",6,0,1960,1960,12
"Argentina sialis","1965",6,0,1961,1961,12
"Argentina sialis","1965",6,0,1962,1962,12
"Argentina sialis","1965",6,0,1963,1963,12
"Argentina sialis","1965",6,0,1964,1964,12
"Argentina sialis","1965",6,0,1965,1965,12
"Argentina sialis","1965",6,0,1966,1966,12
"Argentina sialis","1965",6,0,1967,1967,12
"Argentina sialis","1965",6,0,1968,1968,12
"Argentina sialis","1965",6,0,1969,1969,12
"Argentina sialis","1965",7,17.8455555555556,1961,1960,1
"Argentina sialis","1965",7,17.8455555555556,1962,1961,1
"Argentina sialis","1965",7,17.8455555555556,1963,1962,1
"Argentina sialis","1965",7,17.8455555555556,1964,1963,1
"Argentina sialis","1965",7,17.8455555555556,1965,1964,1
"Argentina sialis","1965",7,17.8455555555556,1966,1965,1
"Argentina sialis","1965",7,17.8455555555556,1967,1966,1
"Argentina sialis","1965",7,17.8455555555556,1968,1967,1
"Argentina sialis","1965",7,17.8455555555556,1969,1968,1
"Argentina sialis","1965",8,2.51,1961,1960,2
"Argentina sialis","1965",8,2.51,1962,1961,2
"Argentina sialis","1965",8,2.51,1963,1962,2
"Argentina sialis","1965",8,2.51,1964,1963,2
"Argentina sialis","1965",8,2.51,1965,1964,2
"Argentina sialis","1965",8,2.51,1966,1965,2
"Argentina sialis","1965",8,2.51,1967,1966,2
"Argentina sialis","1965",8,2.51,1968,1967,2
"Argentina sialis","1965",8,2.51,1969,1968,2
"Argentina sialis","1965",9,2.00666666666667,1961,1960,3
"Argentina sialis","1965",9,2.00666666666667,1962,1961,3
"Argentina sialis","1965",9,2.00666666666667,1963,1962,3
"Argentina sialis","1965",9,2.00666666666667,1964,1963,3
"Argentina sialis","1965",9,2.00666666666667,1965,1964,3
"Argentina sialis","1965",9,2.00666666666667,1966,1965,3
"Argentina sialis","1965",9,2.00666666666667,1967,1966,3
"Argentina sialis","1965",9,2.00666666666667,1968,1967,3
"Argentina sialis","1965",9,2.00666666666667,1969,1968,3
"Argentina sialis","1965",10,4.01333333333333,1961,1960,4
"Argentina sialis","1965",10,4.01333333333333,1962,1961,4
"Argentina sialis","1965",10,4.01333333333333,1963,1962,4
"Argentina sialis","1965",10,4.01333333333333,1964,1963,4
"Argentina sialis","1965",10,4.01333333333333,1965,1964,4
"Argentina sialis","1965",10,4.01333333333333,1966,1965,4
"Argentina sialis","1965",10,4.01333333333333,1967,1966,4
"Argentina sialis","1965",10,4.01333333333333,1968,1967,4
"Argentina sialis","1965",10,4.01333333333333,1969,1968,4
"Argentina sialis","1965",11,0,1961,1960,5
"Argentina sialis","1965",11,0,1962,1961,5
"Argentina sialis","1965",11,0,1963,1962,5
"Argentina sialis","1965",11,0,1964,1963,5
"Argentina sialis","1965",11,0,1965,1964,5
"Argentina sialis","1965",11,0,1966,1965,5
"Argentina sialis","1965",11,0,1967,1966,5
"Argentina sialis","1965",11,0,1968,1967,5
"Argentina sialis","1965",11,0,1969,1968,5
"Argentina sialis","1965",12,1.65111111111111,1961,1960,6
"Argentina sialis","1965",12,1.65111111111111,1962,1961,6
"Argentina sialis","1965",12,1.65111111111111,1963,1962,6
"Argentina sialis","1965",12,1.65111111111111,1964,1963,6
"Argentina sialis","1965",12,1.65111111111111,1965,1964,6
"Argentina sialis","1965",12,1.65111111111111,1966,1965,6
"Argentina sialis","1965",12,1.65111111111111,1967,1966,6
"Argentina sialis","1965",12,1.65111111111111,1968,1967,6
"Argentina sialis","1965",12,1.65111111111111,1969,1968,6
"Argentina sialis","1975",1,3.87943333333333,1972,1972,7
"Argentina sialis","1975",1,3.87943333333333,1975,1975,7
"Argentina sialis","1975",1,3.87943333333333,1978,1978,7
"Argentina sialis","1975",2,0,1972,1972,8
"Argentina sialis","1975",2,0,1975,1975,8
"Argentina sialis","1975",2,0,1978,1978,8
"Argentina sialis","1975",3,0,1972,1972,9
"Argentina sialis","1975",3,0,1975,1975,9
"Argentina sialis","1975",3,0,1978,1978,9
"Argentina sialis","1975",4,0,1972,1972,10
"Argentina sialis","1975",4,0,1975,1975,10
"Argentina sialis","1975",4,0,1978,1978,10
"Argentina sialis","1975",5,1.93333333333333,1972,1972,11
"Argentina sialis","1975",5,1.93333333333333,1975,1975,11
"Argentina sialis","1975",5,1.93333333333333,1978,1978,11
"Argentina sialis","1975",6,0,1972,1972,12
"Argentina sialis","1975",6,0,1975,1975,12
"Argentina sialis","1975",6,0,1978,1978,12
"Argentina sialis","1975",7,21.80317,1972,1971,1
"Argentina sialis","1975",7,21.80317,1975,1974,1
"Argentina sialis","1975",7,21.80317,1978,1977,1
"Argentina sialis","1975",8,12.42,1972,1971,2
"Argentina sialis","1975",8,12.42,1975,1974,2
"Argentina sialis","1975",8,12.42,1978,1977,2
"Argentina sialis","1975",9,1.96666666666667,1972,1971,3
"Argentina sialis","1975",9,1.96666666666667,1975,1974,3
"Argentina sialis","1975",9,1.96666666666667,1978,1977,3
"Argentina sialis","1975",10,0,1972,1971,4
"Argentina sialis","1975",10,0,1975,1974,4
"Argentina sialis","1975",10,0,1978,1977,4
"Argentina sialis","1975",11,0,1972,1971,5
"Argentina sialis","1975",11,0,1975,1974,5
"Argentina sialis","1975",11,0,1978,1977,5
"Argentina sialis","1975",12,0,1972,1971,6
"Argentina sialis","1975",12,0,1975,1974,6
"Argentina sialis","1975",12,0,1978,1977,6
"Argentina sialis","1985",1,8.3482475,1981,1981,7
"Argentina sialis","1985",1,8.3482475,1983,1983,7
"Argentina sialis","1985",1,8.3482475,1984,1984,7
"Argentina sialis","1985",1,8.3482475,1985,1985,7
"Argentina sialis","1985",1,8.3482475,1986,1986,7
"Argentina sialis","1985",1,8.3482475,1987,1987,7
"Argentina sialis","1985",1,8.3482475,1988,1988,7
"Argentina sialis","1985",1,8.3482475,1989,1989,7
"Argentina sialis","1985",2,7.118184,1981,1981,8
"Argentina sialis","1985",2,7.118184,1983,1983,8
"Argentina sialis","1985",2,7.118184,1984,1984,8
"Argentina sialis","1985",2,7.118184,1985,1985,8
"Argentina sialis","1985",2,7.118184,1986,1986,8
"Argentina sialis","1985",2,7.118184,1987,1987,8
"Argentina sialis","1985",2,7.118184,1988,1988,8
"Argentina sialis","1985",2,7.118184,1989,1989,8
"Argentina sialis","1985",3,0.53875,1981,1981,9
"Argentina sialis","1985",3,0.53875,1983,1983,9
"Argentina sialis","1985",3,0.53875,1984,1984,9
"Argentina sialis","1985",3,0.53875,1985,1985,9
"Argentina sialis","1985",3,0.53875,1986,1986,9
"Argentina sialis","1985",3,0.53875,1987,1987,9
"Argentina sialis","1985",3,0.53875,1988,1988,9
"Argentina sialis","1985",3,0.53875,1989,1989,9
"Argentina sialis","1985",4,10.3875,1981,1981,10
"Argentina sialis","1985",4,10.3875,1983,1983,10
"Argentina sialis","1985",4,10.3875,1984,1984,10
"Argentina sialis","1985",4,10.3875,1985,1985,10
"Argentina sialis","1985",4,10.3875,1986,1986,10
"Argentina sialis","1985",4,10.3875,1987,1987,10
"Argentina sialis","1985",4,10.3875,1988,1988,10
"Argentina sialis","1985",4,10.3875,1989,1989,10
"Argentina sialis","1985",5,12.35885875,1981,1981,11
"Argentina sialis","1985",5,12.35885875,1983,1983,11
"Argentina sialis","1985",5,12.35885875,1984,1984,11
"Argentina sialis","1985",5,12.35885875,1985,1985,11
"Argentina sialis","1985",5,12.35885875,1986,1986,11
"Argentina sialis","1985",5,12.35885875,1987,1987,11
"Argentina sialis","1985",5,12.35885875,1988,1988,11
"Argentina sialis","1985",5,12.35885875,1989,1989,11
"Argentina sialis","1985",6,0,1981,1981,12
"Argentina sialis","1985",6,0,1983,1983,12
"Argentina sialis","1985",6,0,1984,1984,12
"Argentina sialis","1985",6,0,1985,1985,12
"Argentina sialis","1985",6,0,1986,1986,12
"Argentina sialis","1985",6,0,1987,1987,12
"Argentina sialis","1985",6,0,1988,1988,12
"Argentina sialis","1985",6,0,1989,1989,12
"Argentina sialis","1985",7,47.8119677777778,1981,1980,1
"Argentina sialis","1985",7,47.8119677777778,1983,1982,1
"Argentina sialis","1985",7,47.8119677777778,1984,1983,1
"Argentina sialis","1985",7,47.8119677777778,1985,1984,1
"Argentina sialis","1985",7,47.8119677777778,1986,1985,1
"Argentina sialis","1985",7,47.8119677777778,1987,1986,1
"Argentina sialis","1985",7,47.8119677777778,1988,1987,1
"Argentina sialis","1985",7,47.8119677777778,1989,1988,1
"Argentina sialis","1985",7,47.8119677777778,1990,1989,1
"Argentina sialis","1985",8,14.6749953333333,1981,1980,2
"Argentina sialis","1985",8,14.6749953333333,1983,1982,2
"Argentina sialis","1985",8,14.6749953333333,1984,1983,2
"Argentina sialis","1985",8,14.6749953333333,1985,1984,2
"Argentina sialis","1985",8,14.6749953333333,1986,1985,2
"Argentina sialis","1985",8,14.6749953333333,1987,1986,2
"Argentina sialis","1985",8,14.6749953333333,1988,1987,2
"Argentina sialis","1985",8,14.6749953333333,1989,1988,2
"Argentina sialis","1985",8,14.6749953333333,1990,1989,2
"Argentina sialis","1985",9,41.3493777777778,1981,1980,3
"Argentina sialis","1985",9,41.3493777777778,1983,1982,3
"Argentina sialis","1985",9,41.3493777777778,1984,1983,3
"Argentina sialis","1985",9,41.3493777777778,1985,1984,3
"Argentina sialis","1985",9,41.3493777777778,1986,1985,3
"Argentina sialis","1985",9,41.3493777777778,1987,1986,3
"Argentina sialis","1985",9,41.3493777777778,1988,1987,3
"Argentina sialis","1985",9,41.3493777777778,1989,1988,3
"Argentina sialis","1985",9,41.3493777777778,1990,1989,3
"Argentina sialis","1985",10,16.1119802222222,1981,1980,4
"Argentina sialis","1985",10,16.1119802222222,1983,1982,4
"Argentina sialis","1985",10,16.1119802222222,1984,1983,4
"Argentina sialis","1985",10,16.1119802222222,1985,1984,4
"Argentina sialis","1985",10,16.1119802222222,1986,1985,4
"Argentina sialis","1985",10,16.1119802222222,1987,1986,4
"Argentina sialis","1985",10,16.1119802222222,1988,1987,4
"Argentina sialis","1985",10,16.1119802222222,1989,1988,4
"Argentina sialis","1985",10,16.1119802222222,1990,1989,4
"Argentina sialis","1985",11,14.0315515555556,1981,1980,5
"Argentina sialis","1985",11,14.0315515555556,1983,1982,5
"Argentina sialis","1985",11,14.0315515555556,1984,1983,5
"Argentina sialis","1985",11,14.0315515555556,1985,1984,5
"Argentina sialis","1985",11,14.0315515555556,1986,1985,5
"Argentina sialis","1985",11,14.0315515555556,1987,1986,5
"Argentina sialis","1985",11,14.0315515555556,1988,1987,5
"Argentina sialis","1985",11,14.0315515555556,1989,1988,5
"Argentina sialis","1985",11,14.0315515555556,1990,1989,5
"Argentina sialis","1985",12,0,1981,1980,6
"Argentina sialis","1985",12,0,1983,1982,6
"Argentina sialis","1985",12,0,1984,1983,6
"Argentina sialis","1985",12,0,1985,1984,6
"Argentina sialis","1985",12,0,1986,1985,6
"Argentina sialis","1985",12,0,1987,1986,6
"Argentina sialis","1985",12,0,1988,1987,6
"Argentina sialis","1985",12,0,1989,1988,6
"Argentina sialis","1985",12,0,1990,1989,6
"Argentina sialis","1995",1,5.7033749,1990,1990,7
"Argentina sialis","1995",1,5.7033749,1991,1991,7
"Argentina sialis","1995",1,5.7033749,1992,1992,7
"Argentina sialis","1995",1,5.7033749,1993,1993,7
"Argentina sialis","1995",1,5.7033749,1994,1994,7
"Argentina sialis","1995",1,5.7033749,1995,1995,7
"Argentina sialis","1995",1,5.7033749,1996,1996,7
"Argentina sialis","1995",1,5.7033749,1997,1997,7
"Argentina sialis","1995",1,5.7033749,1998,1998,7
"Argentina sialis","1995",1,5.7033749,1999,1999,7
"Argentina sialis","1995",2,9.0277127,1990,1990,8
"Argentina sialis","1995",2,9.0277127,1991,1991,8
"Argentina sialis","1995",2,9.0277127,1992,1992,8
"Argentina sialis","1995",2,9.0277127,1993,1993,8
"Argentina sialis","1995",2,9.0277127,1994,1994,8
"Argentina sialis","1995",2,9.0277127,1995,1995,8
"Argentina sialis","1995",2,9.0277127,1996,1996,8
"Argentina sialis","1995",2,9.0277127,1997,1997,8
"Argentina sialis","1995",2,9.0277127,1998,1998,8
"Argentina sialis","1995",2,9.0277127,1999,1999,8
"Argentina sialis","1995",3,3.068,1990,1990,9
"Argentina sialis","1995",3,3.068,1991,1991,9
"Argentina sialis","1995",3,3.068,1992,1992,9
"Argentina sialis","1995",3,3.068,1993,1993,9
"Argentina sialis","1995",3,3.068,1994,1994,9
"Argentina sialis","1995",3,3.068,1995,1995,9
"Argentina sialis","1995",3,3.068,1996,1996,9
"Argentina sialis","1995",3,3.068,1997,1997,9
"Argentina sialis","1995",3,3.068,1998,1998,9
"Argentina sialis","1995",3,3.068,1999,1999,9
"Argentina sialis","1995",4,29.11119819,1990,1990,10
"Argentina sialis","1995",4,29.11119819,1991,1991,10
"Argentina sialis","1995",4,29.11119819,1992,1992,10
"Argentina sialis","1995",4,29.11119819,1993,1993,10
"Argentina sialis","1995",4,29.11119819,1994,1994,10
"Argentina sialis","1995",4,29.11119819,1995,1995,10
"Argentina sialis","1995",4,29.11119819,1996,1996,10
"Argentina sialis","1995",4,29.11119819,1997,1997,10
"Argentina sialis","1995",4,29.11119819,1998,1998,10
"Argentina sialis","1995",4,29.11119819,1999,1999,10
"Argentina sialis","1995",5,30.9921569,1990,1990,11
"Argentina sialis","1995",5,30.9921569,1991,1991,11
"Argentina sialis","1995",5,30.9921569,1992,1992,11
"Argentina sialis","1995",5,30.9921569,1993,1993,11
"Argentina sialis","1995",5,30.9921569,1994,1994,11
"Argentina sialis","1995",5,30.9921569,1995,1995,11
"Argentina sialis","1995",5,30.9921569,1996,1996,11
"Argentina sialis","1995",5,30.9921569,1997,1997,11
"Argentina sialis","1995",5,30.9921569,1998,1998,11
"Argentina sialis","1995",5,30.9921569,1999,1999,11
"Argentina sialis","1995",6,0,1990,1990,12
"Argentina sialis","1995",6,0,1991,1991,12
"Argentina sialis","1995",6,0,1992,1992,12
"Argentina sialis","1995",6,0,1993,1993,12
"Argentina sialis","1995",6,0,1994,1994,12
"Argentina sialis","1995",6,0,1995,1995,12
"Argentina sialis","1995",6,0,1996,1996,12
"Argentina sialis","1995",6,0,1997,1997,12
"Argentina sialis","1995",6,0,1998,1998,12
"Argentina sialis","1995",6,0,1999,1999,12
"Argentina sialis","1995",7,58.9619369355,1991,1990,1
"Argentina sialis","1995",7,58.9619369355,1992,1991,1
"Argentina sialis","1995",7,58.9619369355,1993,1992,1
"Argentina sialis","1995",7,58.9619369355,1994,1993,1
"Argentina sialis","1995",7,58.9619369355,1995,1994,1
"Argentina sialis","1995",7,58.9619369355,1996,1995,1
"Argentina sialis","1995",7,58.9619369355,1997,1996,1
"Argentina sialis","1995",7,58.9619369355,1998,1997,1
"Argentina sialis","1995",7,58.9619369355,1999,1998,1
"Argentina sialis","1995",7,58.9619369355,2000,1999,1
"Argentina sialis","1995",8,47.026322262,1991,1990,2
"Argentina sialis","1995",8,47.026322262,1992,1991,2
"Argentina sialis","1995",8,47.026322262,1993,1992,2
"Argentina sialis","1995",8,47.026322262,1994,1993,2
"Argentina sialis","1995",8,47.026322262,1995,1994,2
"Argentina sialis","1995",8,47.026322262,1996,1995,2
"Argentina sialis","1995",8,47.026322262,1997,1996,2
"Argentina sialis","1995",8,47.026322262,1998,1997,2
"Argentina sialis","1995",8,47.026322262,1999,1998,2
"Argentina sialis","1995",8,47.026322262,2000,1999,2
"Argentina sialis","1995",9,28.8636975,1991,1990,3
"Argentina sialis","1995",9,28.8636975,1992,1991,3
"Argentina sialis","1995",9,28.8636975,1993,1992,3
"Argentina sialis","1995",9,28.8636975,1994,1993,3
"Argentina sialis","1995",9,28.8636975,1995,1994,3
"Argentina sialis","1995",9,28.8636975,1996,1995,3
"Argentina sialis","1995",9,28.8636975,1997,1996,3
"Argentina sialis","1995",9,28.8636975,1998,1997,3
"Argentina sialis","1995",9,28.8636975,1999,1998,3
"Argentina sialis","1995",9,28.8636975,2000,1999,3
"Argentina sialis","1995",10,33.6464878407,1991,1990,4
"Argentina sialis","1995",10,33.6464878407,1992,1991,4
"Argentina sialis","1995",10,33.6464878407,1993,1992,4
"Argentina sialis","1995",10,33.6464878407,1994,1993,4
"Argentina sialis","1995",10,33.6464878407,1995,1994,4
"Argentina sialis","1995",10,33.6464878407,1996,1995,4
"Argentina sialis","1995",10,33.6464878407,1997,1996,4
"Argentina sialis","1995",10,33.6464878407,1998,1997,4
"Argentina sialis","1995",10,33.6464878407,1999,1998,4
"Argentina sialis","1995",10,33.6464878407,2000,1999,4
"Argentina sialis","1995",11,0,1991,1990,5
"Argentina sialis","1995",11,0,1992,1991,5
"Argentina sialis","1995",11,0,1993,1992,5
"Argentina sialis","1995",11,0,1994,1993,5
"Argentina sialis","1995",11,0,1995,1994,5
"Argentina sialis","1995",11,0,1996,1995,5
"Argentina sialis","1995",11,0,1997,1996,5
"Argentina sialis","1995",11,0,1998,1997,5
"Argentina sialis","1995",11,0,1999,1998,5
"Argentina sialis","1995",11,0,2000,1999,5
"Argentina sialis","1995",12,0,1991,1990,6
"Argentina sialis","1995",12,0,1992,1991,6
"Argentina sialis","1995",12,0,1993,1992,6
"Argentina sialis","1995",12,0,1994,1993,6
"Argentina sialis","1995",12,0,1995,1994,6
"Argentina sialis","1995",12,0,1996,1995,6
"Argentina sialis","1995",12,0,1997,1996,6
"Argentina sialis","1995",12,0,1998,1997,6
"Argentina sialis","1995",12,0,1999,1998,6
"Argentina sialis","1995",12,0,2000,1999,6
"Argentina sialis","2005",1,6.2323669412,2000,2000,7
"Argentina sialis","2005",1,6.2323669412,2001,2001,7
"Argentina sialis","2005",1,6.2323669412,2002,2002,7
"Argentina sialis","2005",1,6.2323669412,2003,2003,7
"Argentina sialis","2005",1,6.2323669412,2004,2004,7
"Argentina sialis","2005",1,6.2323669412,2005,2005,7
"Argentina sialis","2005",1,6.2323669412,2006,2006,7
"Argentina sialis","2005",1,6.2323669412,2007,2007,7
"Argentina sialis","2005",1,6.2323669412,2008,2008,7
"Argentina sialis","2005",1,6.2323669412,2009,2009,7
"Argentina sialis","2005",2,0,2000,2000,8
"Argentina sialis","2005",2,0,2001,2001,8
"Argentina sialis","2005",2,0,2002,2002,8
"Argentina sialis","2005",2,0,2003,2003,8
"Argentina sialis","2005",2,0,2004,2004,8
"Argentina sialis","2005",2,0,2005,2005,8
"Argentina sialis","2005",2,0,2006,2006,8
"Argentina sialis","2005",2,0,2007,2007,8
"Argentina sialis","2005",2,0,2008,2008,8
"Argentina sialis","2005",2,0,2009,2009,8
"Argentina sialis","2005",3,0,2000,2000,9
"Argentina sialis","2005",3,0,2001,2001,9
"Argentina sialis","2005",3,0,2002,2002,9
"Argentina sialis","2005",3,0,2003,2003,9
"Argentina sialis","2005",3,0,2004,2004,9
"Argentina sialis","2005",3,0,2005,2005,9
"Argentina sialis","2005",3,0,2006,2006,9
"Argentina sialis","2005",3,0,2007,2007,9
"Argentina sialis","2005",3,0,2008,2008,9
"Argentina sialis","2005",3,0,2009,2009,9
"Argentina sialis","2005",4,6.6594041911,2000,2000,10
"Argentina sialis","2005",4,6.6594041911,2001,2001,10
"Argentina sialis","2005",4,6.6594041911,2002,2002,10
"Argentina sialis","2005",4,6.6594041911,2003,2003,10
"Argentina sialis","2005",4,6.6594041911,2004,2004,10
"Argentina sialis","2005",4,6.6594041911,2005,2005,10
"Argentina sialis","2005",4,6.6594041911,2006,2006,10
"Argentina sialis","2005",4,6.6594041911,2007,2007,10
